"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R130","2020-04-19 00:00:00","1040.000","91.000","1.300","19.200","0.860","899.000","","0.000","-99.000","-99.000","-99.000","29.100","","17.500",""
"C0M790","2020-04-19 00:00:00","15.000","66.000","0.400","25.400","0.770","1010.900","","0.000","-99.000","-99.000","-99.000","31.400","","20.900",""
"C0C590","2020-04-19 00:00:00","72.000","137.000","1.200","22.900","0.820","1004.600","","0.000","-99.000","-99.000","-99.000","27.800","","19.300",""
"C0G780","2020-04-19 00:00:00","27.000","168.000","0.500","25.800","0.790","1010.400","","0.000","-99.000","-99.000","-99.000","29.600","","21.600",""
"C0V660","2020-04-19 00:00:00","25.000","76.000","0.600","26.600","0.830","1011.100","","0.000","-99.000","-99.000","-99.000","30.800","","22.700",""
"C0F9R0","2020-04-19 00:00:00","20.000","0.000","0.000","25.100","1.000","1012.100","","0.000","-99.000","-99.000","-99.000","28.800","","21.200",""
"C0W130","2020-04-19 00:00:00","18.000","77.000","1.300","24.800","0.910","1010.000","","0.000","-99.000","-99.000","-99.000","28.300","","22.200",""
"C0C700","2020-04-19 00:00:00","151.000","126.000","1.400","22.400","0.850","997.000","","0.000","-99.000","-99.000","-99.000","27.200","","19.300",""
"C0R740","2020-04-19 00:00:00","58.000","52.000","3.100","26.100","0.790","1007.700","","0.000","-99.000","-99.000","-99.000","30.500","","24.400",""
"C0R100","2020-04-19 00:00:00","1006.000","320.000","0.700","18.100","0.970","904.900","","0.000","-99.000","-99.000","-99.000","26.600","","15.500",""
"C0X120","2020-04-19 00:00:00","28.000","69.000","0.800","26.600","0.800","1011.500","","0.000","-99.000","-99.000","-99.000","31.600","","22.000",""
"C0R670","2020-04-19 00:00:00","26.000","99.000","0.500","25.900","0.780","1011.900","","0.000","-99.000","-99.000","-99.000","31.000","","23.600",""
"C0W110","2020-04-19 00:00:00","16.000","22.000","4.800","17.900","0.970","1013.200","","0.000","-99.000","-99.000","-99.000","20.600","","17.900",""
"CM0130","2020-04-19 00:00:00","11.000","194.000","2.000","27.100","0.790","1013.000","","0.000","-99.000","-99.000","-99.000","28.400","","22.900",""
"C0AC70","2020-04-19 00:00:00","71.000","0.000","0.000","23.500","0.820","1005.600","","0.000","-99.000","-99.000","-99.000","29.600","","20.100",""
"CM0100","2020-04-19 00:00:00","25.000","162.000","1.600","23.900","0.760","1010.600","","0.000","-99.000","-99.000","-99.000","27.900","","18.800",""
"C0X050","2020-04-19 00:00:00","25.000","0.000","0.000","24.700","0.910","1009.800","","0.000","-99.000","-99.000","-99.000","32.800","","19.600",""
"C0K580","2020-04-19 00:00:00","26.000","0.000","0.000","24.500","0.990","1012.100","","0.000","-99.000","-99.000","-99.000","31.000","","19.500",""
"C0G650","2020-04-19 00:00:00","34.000","0.000","0.000","25.100","0.890","1009.800","","0.000","-99.000","-99.000","-99.000","31.600","","20.600",""
"C0T9B0","2020-04-19 00:00:00","558.000","0.000","0.000","20.700","0.950","952.800","","12.000","-99.000","-99.000","-99.000","25.100","","19.300",""
"C0E850","2020-04-19 00:00:00","104.000","0.000","0.000","22.300","0.910","1001.400","","0.000","-99.000","-99.000","-99.000","27.500","","17.700",""
"C0S990","2020-04-19 00:00:00","409.000","302.000","0.500","23.000","0.970","969.400","","0.500","-99.000","-99.000","-99.000","26.700","","21.300",""
"C0X240","2020-04-19 00:00:00","394.000","0.000","0.000","22.100","0.910","970.300","","0.000","-99.000","-99.000","-99.000","30.000","","17.400",""
"C0I090","2020-04-19 00:00:00","910.000","192.000","0.400","19.300","1.000","914.400","","0.000","-99.000","-99.000","-99.000","25.900","","16.600",""
"C0I490","2020-04-19 00:00:00","1601.000","212.000","1.600","15.400","0.960","843.900","","0.000","-99.000","-99.000","-99.000","23.500","","12.700",""
"C0Z050","2020-04-19 00:00:00","830.000","281.000","0.600","19.000","0.890","925.000","","0.000","-99.000","-99.000","-99.000","24.800","","15.400",""
"C0X150","2020-04-19 00:00:00","18.000","44.000","0.600","26.400","0.840","1012.900","","0.000","-99.000","-99.000","-99.000","32.800","","22.400",""
"C0R690","2020-04-19 00:00:00","248.000","154.000","1.800","24.400","0.990","985.700","","0.000","-99.000","-99.000","-99.000","28.100","","22.400",""
"C0U720","2020-04-19 00:00:00","1260.000","278.000","0.800","15.900","1.000","888.600","","0.000","-99.000","-99.000","-99.000","23.500","","14.900",""
"C0W140","2020-04-19 00:00:00","21.000","96.000","1.600","21.100","0.900","1012.400","","0.000","-99.000","-99.000","-99.000","28.100","","19.900",""
"C0G660","2020-04-19 00:00:00","27.000","0.000","0.200","25.500","0.870","1011.700","","0.000","-99.000","-99.000","-99.000","31.200","","20.700",""
"C0R810","2020-04-19 00:00:00","25.000","107.000","1.600","27.300","0.650","1011.200","","0.000","-99.000","-99.000","-99.000","30.500","","21.900",""
"C0E750","2020-04-19 00:00:00","62.000","180.000","1.300","23.600","0.820","1006.000","","0.000","-99.000","-99.000","-99.000","28.500","","19.700",""
"C0U520","2020-04-19 00:00:00","517.000","222.000","0.400","19.200","0.990","958.600","","0.000","-99.000","-99.000","-99.000","28.300","","16.200",""
"C0T9G0","2020-04-19 00:00:00","605.000","0.000","0.100","20.300","1.000","949.100","","0.000","-99.000","-99.000","-99.000","26.700","","19.000",""
"C0S700","2020-04-19 00:00:00","507.000","187.000","0.900","19.800","0.950","959.200","","0.000","-99.000","-99.000","-99.000","26.600","","18.000",""
"C0Z310","2020-04-19 00:00:00","59.000","343.000","0.400","23.200","0.990","1008.200","","0.000","-99.000","-99.000","-99.000","28.100","","21.700",""
"C0V610","2020-04-19 00:00:00","22.000","62.000","0.600","27.500","0.800","1011.200","","0.000","-99.000","-99.000","-99.000","30.400","","22.500",""
